epoch,train_loss,train_top1_accuracy,train_legal_action_accuracy,val_loss,val_top1_accuracy,val_legal_action_accuracy
1,3.295861932966444,0.24142480211081793,1.0,2.9633011553022595,0.23043095866314864,1.0
2,2.588914175828298,0.38742304309586634,1.0,2.3261185222201877,0.3438874230430959,1.0
3,1.9779525034957461,0.5107739665787159,1.0,1.9280814992056952,0.46174142480211083,1.0
4,1.612780316008462,0.6035620052770448,1.0,1.7389488220214844,0.5373790677220757,1.0
5,1.4061954584386613,0.6488566402814424,1.0,1.570958548121982,0.5602462620932278,1.0
6,1.2340457869900598,0.6932717678100264,1.0,1.5218288368648953,0.5892700087950747,1.0
7,1.0786930455101862,0.7493403693931399,1.0,1.4346164729860094,0.6086191732629728,1.0
8,0.9590365837017695,0.7671503957783641,1.0,1.42237208949195,0.6156552330694811,1.0
9,0.8643310483958986,0.7937554969217239,1.0,1.4253781239191692,0.6209322779243623,1.0
10,0.7619081603156196,0.8197009674582234,1.0,1.3898156351513333,0.6402814423922604,1.0
11,0.6799599743551679,0.8408091468777484,1.0,1.403589619530572,0.6358839050131926,1.0
12,0.6017872898115052,0.8665347405452947,1.0,1.4330836534500122,0.6464379947229552,1.0
