episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,58,O,-1.0,-1.0,1.0,58,0.0
2,79,X,1.0,0.0,0.9920168067226891,137,0.012659227987751365
3,46,O,-1.0,-0.3333333333333333,0.9840336134453782,183,0.0020206521613821997
4,29,X,1.0,0.0,0.9760504201680672,212,0.014809609594020254
5,52,O,-1.0,-0.2,0.9680672268907563,264,0.005243406549897582
6,72,O,-1.0,-0.3333333333333333,0.9600840336134454,336,0.0013595043846079432
7,79,X,1.0,-0.14285714285714285,0.9521008403361344,415,0.0039014577233052778
8,49,X,1.0,0.0,0.9441176470588235,464,0.00481203395982596
9,80,O,-1.0,-0.1111111111111111,0.9361344537815126,544,0.00193236474024161
10,81,X,1.0,0.0,0.9281512605042017,625,0.003199694063952825
11,43,X,1.0,0.09090909090909091,0.9201680672268907,668,0.004072658204592678
12,26,O,-1.0,0.0,0.9121848739495798,694,0.0022104248055256903
13,47,X,1.0,0.07692307692307693,0.9042016806722689,741,0.0026892762420020326
14,61,X,1.0,0.14285714285714285,0.896218487394958,802,0.002154131002722262
15,54,O,-1.0,0.06666666666666667,0.888235294117647,856,0.003622726352424016
16,54,O,-1.0,0.0,0.8802521008403361,910,0.0019860529729932614
17,83,X,1.0,0.058823529411764705,0.8722689075630252,993,0.002019658235199076
18,95,X,1.0,0.1111111111111111,0.8642857142857143,1088,0.005305682571519068
19,44,O,-1.0,0.05263157894736842,0.8563025210084034,1132,0.0034570002727295187
20,33,X,1.0,0.1,0.8483193277310924,1165,0.0027075708247580087
21,64,O,-1.0,0.047619047619047616,0.8403361344537815,1229,0.0038118929533084156
22,91,X,1.0,0.09090909090909091,0.8323529411764705,1320,0.003471749253599178
23,52,O,-1.0,0.043478260869565216,0.8243697478991596,1372,0.0013603680731298833
24,58,O,-1.0,0.0,0.8163865546218487,1430,0.003760400126088041
25,70,O,-1.0,-0.04,0.8084033613445378,1500,0.00304881859337911
26,69,X,1.0,0.0,0.8004201680672269,1569,0.0019933560793962924
27,48,O,-1.0,-0.037037037037037035,0.792436974789916,1617,0.0019668666548871747
28,62,O,-1.0,-0.07142857142857142,0.784453781512605,1679,0.0032703958446114894
29,51,X,1.0,-0.034482758620689655,0.7764705882352941,1730,0.0020707978415599676
30,50,O,-1.0,-0.06666666666666667,0.7684873949579832,1780,0.0020292305597104134
31,77,X,1.0,-0.03225806451612903,0.7605042016806722,1857,0.0037275867528348628
32,70,O,-1.0,-0.0625,0.7525210084033613,1927,0.002527030322484539
33,63,X,1.0,-0.030303030303030304,0.7445378151260504,1990,0.0023851924851196744
34,87,X,1.0,0.0,0.7365546218487395,2077,0.0037329142756663777
35,65,X,1.0,0.02857142857142857,0.7285714285714286,2142,0.0037289410314630144
36,59,X,1.0,0.05555555555555555,0.7205882352941176,2201,0.0017296619860305434
37,48,O,-1.0,0.02702702702702703,0.7126050420168067,2249,0.005082233619759791
38,73,X,1.0,0.05263157894736842,0.7046218487394957,2322,0.0028906140447760077
39,50,O,-1.0,0.02564102564102564,0.6966386554621848,2372,0.0021909960953053085
40,74,O,-1.0,0.0,0.688655462184874,2446,0.0032180862885119546
41,92,O,-1.0,-0.024390243902439025,0.680672268907563,2538,0.003226862523423852
42,51,X,1.0,0.0,0.6726890756302522,2589,0.0032317039280600262
43,44,O,-1.0,-0.023255813953488372,0.6647058823529411,2633,0.003018181536224967
44,42,O,-1.0,-0.045454545454545456,0.6567226890756303,2675,0.0045083499197582045
45,65,X,1.0,-0.022222222222222223,0.6487394957983192,2740,0.0036341475304932547
46,65,X,1.0,0.0,0.6407563025210085,2805,0.0029533790527448917
47,25,X,1.0,0.02127659574468085,0.6327731092436975,2830,0.003322375062853098
48,48,O,-1.0,0.0,0.6247899159663866,2878,0.004509892933128867
49,43,X,1.0,0.02040816326530612,0.6168067226890757,2921,0.0044561014043676215
50,67,X,1.0,0.04,0.6088235294117648,2988,0.004202855750049617
51,77,X,1.0,0.08,0.6008403361344539,3065,0.0031886131649341
52,82,O,-1.0,0.04,0.592857142857143,3147,0.002578960811306166
53,61,X,1.0,0.08,0.584873949579832,3208,0.0030612837147257735
54,37,X,1.0,0.08,0.576890756302521,3245,0.0036298624740133214
55,42,O,-1.0,0.08,0.5689075630252101,3287,0.0036104877889599827
56,25,X,1.0,0.12,0.5609243697478992,3312,0.002694217140087858
57,35,X,1.0,0.12,0.5529411764705883,3347,0.0034045227952966732
58,33,X,1.0,0.12,0.5449579831932774,3380,0.002435678916905696
59,55,X,1.0,0.16,0.5369747899159665,3435,0.003439910771240565
60,78,O,-1.0,0.12,0.5289915966386555,3513,0.0025803578766779257
61,53,X,1.0,0.12,0.5210084033613446,3566,0.002900156872852196
62,78,O,-1.0,0.12,0.5130252100840337,3644,0.004474903144933379
63,71,X,1.0,0.12,0.5050420168067227,3715,0.0037426026857746634
64,51,X,1.0,0.12,0.4970588235294118,3766,0.003969796767741369
65,48,O,-1.0,0.12,0.4890756302521009,3814,0.005186705328621126
66,75,X,1.0,0.16,0.48109243697479,3889,0.00489752452665319
67,66,O,-1.0,0.12,0.473109243697479,3955,0.004645603455366764
68,41,X,1.0,0.12,0.4651260504201681,3996,0.0032796956039397272
69,73,X,1.0,0.16,0.4571428571428572,4069,0.004371242416697261
70,28,O,-1.0,0.12,0.4491596638655462,4097,0.004202452041291898
71,81,X,1.0,0.16,0.4411764705882353,4178,0.0040550028911021385
72,54,O,-1.0,0.12,0.4331932773109244,4232,0.004056850335608168
73,55,X,1.0,0.16,0.4252100840336135,4287,0.004532071109861135
74,46,O,-1.0,0.16,0.4172268907563025,4333,0.004217159215603833
75,51,X,1.0,0.2,0.4092436974789916,4384,0.0020693823981655798
76,105,X,1.0,0.2,0.4012605042016807,4489,0.003964286199438252
77,55,X,1.0,0.24,0.3932773109243698,4544,0.004005880578717386
78,73,X,1.0,0.28,0.3852941176470588,4617,0.0035145797544280195
79,49,X,1.0,0.28,0.3773109243697479,4666,0.004558398811816599
80,56,O,-1.0,0.28,0.369327731092437,4722,0.004125135300065657
81,75,X,1.0,0.28,0.361344537815126,4797,0.004805630502135803
82,106,O,-1.0,0.28,0.3533613445378151,4903,0.0036504689559015394
83,55,X,1.0,0.28,0.3453781512605042,4958,0.005547266256656837
84,41,X,1.0,0.28,0.3373949579831933,4999,0.003513341144908492
85,73,X,1.0,0.28,0.3294117647058823,5072,0.004436052980839134
86,44,O,-1.0,0.24,0.3214285714285714,5116,0.0028474834768778897
87,44,O,-1.0,0.24,0.3134453781512605,5160,0.002362615801923146
88,63,X,1.0,0.24,0.3054621848739496,5223,0.004115079314307502
89,32,O,-1.0,0.24,0.2974789915966386,5255,0.0037724930134572787
90,85,X,1.0,0.28,0.2894957983193277,5340,0.003631369281313656
91,68,O,-1.0,0.28,0.2815126050420169,5408,0.002958773585038109
92,58,O,-1.0,0.24,0.273529411764706,5466,0.003851237959240499
93,27,X,1.0,0.28,0.265546218487395,5493,0.004046265598541747
94,20,O,-1.0,0.28,0.2575630252100841,5513,0.006603436497971416
95,34,O,-1.0,0.24,0.24957983193277322,5547,0.0036559781583491713
96,81,X,1.0,0.24,0.24159663865546221,5628,0.004335764498035941
97,55,X,1.0,0.24,0.23361344537815132,5683,0.0031805557585109705
98,45,X,1.0,0.28,0.22563025210084042,5728,0.002918978869759788
99,68,O,-1.0,0.24,0.21764705882352953,5796,0.004074577973155743
100,62,O,-1.0,0.2,0.20966386554621852,5858,0.003064006482506351
101,35,X,1.0,0.2,0.20168067226890762,5893,0.005318780465417408
102,58,O,-1.0,0.2,0.19369747899159673,5951,0.003534382043591026
103,48,O,-1.0,0.16,0.18571428571428583,5999,0.0026519128726552785
104,62,O,-1.0,0.12,0.17773109243697482,6061,0.0032658221598173822
105,14,O,-1.0,0.12,0.16974789915966393,6075,0.0028733515771039364
106,47,X,1.0,0.12,0.16176470588235303,6122,0.004160777065640395
107,29,X,1.0,0.12,0.15378151260504203,6151,0.003981453957686457
108,23,X,1.0,0.12,0.14579831932773113,6174,0.006634263919018533
109,65,X,1.0,0.12,0.13781512605042023,6239,0.005116507256976687
110,23,X,1.0,0.16,0.12983193277310934,6262,0.003009648743065317
111,37,X,1.0,0.16,0.12184873949579833,6299,0.004185069763774959
112,51,X,1.0,0.2,0.11386554621848743,6350,0.00419280502041254
113,29,X,1.0,0.2,0.10588235294117654,6379,0.0028241649350344107
114,38,O,-1.0,0.16,0.09789915966386564,6417,0.005408119713568962
115,36,O,-1.0,0.16,0.08991596638655464,6453,0.007699816895183176
116,29,X,1.0,0.16,0.08193277310924374,6482,0.005124890502413799
117,53,X,1.0,0.2,0.07394957983193284,6535,0.005802042837219559
118,51,X,1.0,0.2,0.06596638655462195,6586,0.0033307992881757443
119,52,O,-1.0,0.16,0.05798319327731094,6638,0.0045617214631280285
120,83,X,1.0,0.2,0.050000000000000044,6721,0.006052759603291458
