episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,7,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
2,1,7,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
3,1,13,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
4,1,41,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
5,1,41,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
6,1,13,X,1.0,1.0,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
7,1,36,O,-1.0,0.7142857142857143,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
8,1,13,X,1.0,0.75,0.6701475158333778,-0.007766062704225381,1.3932020564874013,1.8687440852324169
9,2,50,O,-1.0,0.5555555555555556,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
10,2,30,O,-1.0,0.4,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
11,2,30,O,-1.0,0.2727272727272727,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
12,2,25,X,1.0,0.3333333333333333,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
13,2,18,O,-1.0,0.23076923076923078,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
14,2,21,X,1.0,0.2857142857142857,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
15,2,9,X,1.0,0.3333333333333333,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
16,2,66,O,-1.0,0.25,0.41932980460114777,-0.02973996609216556,0.9327299799770117,1.7295223474502563
17,3,11,X,1.0,0.29411764705882354,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
18,3,20,O,-1.0,0.2222222222222222,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
19,3,13,X,1.0,0.2631578947368421,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
20,3,28,O,-1.0,0.2,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
21,3,17,X,1.0,0.23809523809523808,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
22,3,11,X,1.0,0.2727272727272727,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
23,3,20,O,-1.0,0.21739130434782608,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
24,3,33,X,1.0,0.25,0.47788218781352043,-0.03692232879499594,1.0637268871068954,1.7058927714824677
25,4,23,X,1.0,0.28,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
26,4,9,X,1.0,0.3076923076923077,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
27,4,40,O,-1.0,0.25925925925925924,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
28,4,11,X,1.0,0.2857142857142857,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
29,4,13,X,1.0,0.3103448275862069,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
30,4,13,X,1.0,0.3333333333333333,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
31,4,20,O,-1.0,0.2903225806451613,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
32,4,51,X,1.0,0.3125,0.44379520043730736,-0.0495782116583238,1.0262875308593113,1.977036565542221
33,5,60,O,-1.0,0.2727272727272727,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
34,5,14,O,-1.0,0.23529411764705882,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
35,5,16,O,-1.0,0.2,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
36,5,35,X,1.0,0.2222222222222222,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
37,5,33,X,1.0,0.24324324324324326,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
38,5,12,O,-1.0,0.21052631578947367,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
39,5,37,X,1.0,0.23076923076923078,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
40,5,33,X,1.0,0.25,0.31004233506973833,-0.04025772411841899,0.7422984056174755,2.084914267063141
41,6,12,O,-1.0,0.21951219512195122,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
42,6,28,O,-1.0,0.19047619047619047,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
43,6,37,X,1.0,0.20930232558139536,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
44,6,7,X,1.0,0.22727272727272727,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
45,6,27,X,1.0,0.24444444444444444,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
46,6,7,X,1.0,0.2608695652173913,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
47,6,30,O,-1.0,0.23404255319148937,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
48,6,40,O,-1.0,0.20833333333333334,0.19706946440661946,-0.05819089633102218,0.5513013179103533,2.0390295883019767
49,7,13,X,1.0,0.22448979591836735,0.6887164625028769,-0.051788120375325285,1.5265408953030903,2.276586910088857
50,7,16,O,-1.0,0.2,0.6887164625028769,-0.051788120375325285,1.5265408953030903,2.276586910088857
