episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,40,O,-1.0,-1.0,0.18510906758407752,-0.020862505833307902,0.4959422570963701,4.199955717722575
2,1,56,O,-1.0,-1.0,0.18510906758407752,-0.020862505833307902,0.4959422570963701,4.199955717722575
3,1,92,O,-1.0,-1.0,0.18510906758407752,-0.020862505833307902,0.4959422570963701,4.199955717722575
4,1,51,X,1.0,-0.5,0.18510906758407752,-0.020862505833307902,0.4959422570963701,4.199955717722575
5,2,72,O,-1.0,-0.6,0.191086481558159,-0.031567149329930544,0.528797849547118,4.174529612064362
6,2,39,X,1.0,-0.3333333333333333,0.191086481558159,-0.031567149329930544,0.528797849547118,4.174529612064362
7,2,62,O,-1.0,-0.42857142857142855,0.191086481558159,-0.031567149329930544,0.528797849547118,4.174529612064362
8,2,75,X,1.0,-0.25,0.191086481558159,-0.031567149329930544,0.528797849547118,4.174529612064362
