episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy,reference_kl
1,1,60,O,-1.0,-1.0,0.487804508634976,0.04015396109649113,0.9806983726365226,4.273545128958566,0.0003682383394334465
2,1,39,X,1.0,0.0,0.487804508634976,0.04015396109649113,0.9806983726365226,4.273545128958566,0.0003682383394334465
3,2,77,X,1.0,0.3333333333333333,0.4492288885845078,0.008670088317659166,0.9641319447093539,4.167297787136501,0.00165801496607148
4,2,58,O,-1.0,0.0,0.4492288885845078,0.008670088317659166,0.9641319447093539,4.167297787136501,0.00165801496607148
