episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,63,X,1.0,1.0,1.0,63,0.0030133461758461116
2,51,X,1.0,1.0,0.6833333333333333,114,0.007032359739669654
3,27,X,1.0,1.0,0.3666666666666667,141,0.01607962248683045
4,75,X,1.0,1.0,0.050000000000000044,216,0.011012708936662724
