episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,73,X,1.0,1.0,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
2,1,83,X,1.0,1.0,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
3,1,51,X,1.0,1.0,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
4,1,37,X,1.0,1.0,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
5,1,41,X,1.0,1.0,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
6,1,54,O,-1.0,0.6666666666666666,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
7,1,58,O,-1.0,0.42857142857142855,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
8,1,71,X,1.0,0.5,0.26560604420956224,-0.04090067825745791,0.6971478275954723,4.206719011068344
9,2,51,X,1.0,0.5555555555555556,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
10,2,53,X,1.0,0.6,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
11,2,24,O,-1.0,0.45454545454545453,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
12,2,29,X,1.0,0.5,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
13,2,40,O,-1.0,0.38461538461538464,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
14,2,50,O,-1.0,0.2857142857142857,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
15,2,94,O,-1.0,0.2,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
16,2,42,O,-1.0,0.125,0.18780441721901298,-0.04062011608039029,0.5408170806864897,4.198400715986888
17,3,73,X,1.0,0.17647058823529413,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
18,3,74,O,-1.0,0.1111111111111111,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
19,3,44,O,-1.0,0.05263157894736842,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
20,3,90,O,-1.0,0.0,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
21,3,79,X,1.0,0.047619047619047616,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
22,3,62,O,-1.0,0.0,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
23,3,89,X,1.0,0.043478260869565216,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
24,3,75,X,1.0,0.08333333333333333,0.17969588758423924,-0.03413979248143732,0.5088890492916107,4.06088450551033
25,4,47,X,1.0,0.12,0.2777284309267998,-0.014803285826928914,0.668170406948775,4.155348584055901
26,4,27,X,1.0,0.15384615384615385,0.2777284309267998,-0.014803285826928914,0.668170406948775,4.155348584055901
27,4,56,O,-1.0,0.1111111111111111,0.2777284309267998,-0.014803285826928914,0.668170406948775,4.155348584055901
28,4,79,X,1.0,0.14285714285714285,0.2777284309267998,-0.014803285826928914,0.668170406948775,4.155348584055901
29,4,49,X,1.0,0.1724137931034483,0.2777284309267998,-0.014803285826928914,0.668170406948775,4.155348584055901
