episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,44,O,-1.0,-1.0,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
2,1,54,O,-1.0,-1.0,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
3,1,35,X,1.0,-0.3333333333333333,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
4,1,61,X,1.0,0.0,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
5,1,25,X,1.0,0.2,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
6,1,21,X,1.0,0.3333333333333333,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
7,1,75,X,1.0,0.42857142857142855,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
8,1,103,X,1.0,0.5,0.16432939376682043,-0.04377581977418491,0.5001938241933074,4.199169874191284
9,2,35,X,1.0,0.5555555555555556,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
10,2,62,O,-1.0,0.4,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
11,2,96,O,-1.0,0.2727272727272727,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
12,2,64,O,-1.0,0.16666666666666666,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
13,2,88,O,-1.0,0.07692307692307693,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
14,2,76,O,-1.0,0.0,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
15,2,50,O,-1.0,-0.06666666666666667,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
16,2,74,O,-1.0,-0.125,0.17187310931169325,-0.048442417859203286,0.5230677123698924,4.121833046277364
17,3,49,X,1.0,-0.058823529411764705,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
18,3,47,X,1.0,0.0,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
19,3,43,X,1.0,0.05263157894736842,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
20,3,53,X,1.0,0.1,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
21,3,39,X,1.0,0.14285714285714285,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
22,3,45,X,1.0,0.18181818181818182,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
23,3,61,X,1.0,0.21739130434782608,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
24,3,84,O,-1.0,0.16666666666666666,0.19049054197967052,-0.04290413723460266,0.5514129676989147,4.231180514608111
25,4,69,X,1.0,0.2,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
26,4,85,X,1.0,0.23076923076923078,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
27,4,30,O,-1.0,0.18518518518518517,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
28,4,55,X,1.0,0.21428571428571427,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
29,4,81,X,1.0,0.2413793103448276,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
30,4,98,O,-1.0,0.2,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
31,4,79,X,1.0,0.22580645161290322,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
32,4,81,X,1.0,0.25,0.22987485779449343,-0.0047375103924423454,0.5509733568876982,4.087431156635285
33,5,45,X,1.0,0.2727272727272727,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
34,5,50,O,-1.0,0.23529411764705882,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
35,5,62,O,-1.0,0.2,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
36,5,78,O,-1.0,0.16666666666666666,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
37,5,119,X,1.0,0.1891891891891892,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
38,5,88,O,-1.0,0.15789473684210525,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
39,5,38,O,-1.0,0.1282051282051282,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
40,5,50,O,-1.0,0.1,0.13367428868595096,-0.04451994125783029,0.4371773919297589,4.039446784390344
41,6,55,X,1.0,0.12195121951219512,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
42,6,55,X,1.0,0.14285714285714285,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
43,6,93,X,1.0,0.16279069767441862,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
44,6,59,X,1.0,0.18181818181818182,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
45,6,71,X,1.0,0.2,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
46,6,62,O,-1.0,0.17391304347826086,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
47,6,47,X,1.0,0.19148936170212766,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
48,6,61,X,1.0,0.20833333333333334,0.2426691889995709,-0.030014585703611374,0.62730931956321,4.09708870947361
49,7,60,O,-1.0,0.1836734693877551,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
50,7,23,X,1.0,0.2,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
51,7,25,X,1.0,0.24,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
52,7,66,O,-1.0,0.24,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
53,7,90,O,-1.0,0.2,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
54,7,84,O,-1.0,0.16,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
55,7,39,X,1.0,0.16,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
56,7,71,X,1.0,0.16,0.1869848120259121,-0.017289052135311067,0.49075810611248016,4.110518783330917
57,8,32,O,-1.0,0.12,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
58,8,50,O,-1.0,0.08,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
59,8,71,X,1.0,0.08,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
60,8,59,X,1.0,0.12,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
61,8,30,O,-1.0,0.12,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
62,8,38,O,-1.0,0.12,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
63,8,115,X,1.0,0.16,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
64,8,54,O,-1.0,0.16,0.17231408040970564,-0.03969653701642528,0.5058035478141392,4.089115276932716
65,9,61,X,1.0,0.2,0.24194367707241327,-0.04119203909067437,0.6487288107164204,4.122868850827217
