episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,67,X,1.0,1.0,1.0,67,0.0
2,56,O,-1.0,0.0,0.9920168067226891,123,0.0
3,54,O,-1.0,-0.3333333333333333,0.9840336134453782,177,0.0038673740503145384
4,85,X,1.0,0.0,0.9760504201680672,262,0.006296974965901908
5,39,X,1.0,0.2,0.9680672268907563,301,0.0023031087296728333
6,67,X,1.0,0.3333333333333333,0.9600840336134454,368,0.0016344778427381569
7,69,X,1.0,0.42857142857142855,0.9521008403361344,437,0.006118156150636344
8,45,X,1.0,0.5,0.9441176470588235,482,0.0034112588722362285
9,32,O,-1.0,0.3333333333333333,0.9361344537815126,514,0.0014066770545468898
10,106,O,-1.0,0.2,0.9281512605042017,620,0.004062688628179768
11,43,X,1.0,0.2727272727272727,0.9201680672268907,663,0.005511574914169952
12,88,O,-1.0,0.16666666666666666,0.9121848739495798,751,0.0017827222383692226
13,70,O,-1.0,0.07692307692307693,0.9042016806722689,821,0.00282517609219732
14,61,X,1.0,0.14285714285714285,0.896218487394958,882,0.0026414218911191174
15,35,X,1.0,0.2,0.888235294117647,917,0.0025450595629601075
16,66,O,-1.0,0.125,0.8802521008403361,983,0.0022582155956611546
17,78,O,-1.0,0.058823529411764705,0.8722689075630252,1061,0.004240654192145508
18,67,X,1.0,0.1111111111111111,0.8642857142857143,1128,0.0034755306625078473
19,50,O,-1.0,0.05263157894736842,0.8563025210084034,1178,0.0018210024054860696
20,47,X,1.0,0.1,0.8483193277310924,1225,0.0024695862796742154
21,51,X,1.0,0.14285714285714285,0.8403361344537815,1276,0.0030410112196798712
22,77,X,1.0,0.18181818181818182,0.8323529411764705,1353,0.0025493411213845956
23,76,O,-1.0,0.13043478260869565,0.8243697478991596,1429,0.0025018090292226254
24,51,X,1.0,0.16666666666666666,0.8163865546218487,1480,0.002147652403401284
25,51,X,1.0,0.2,0.8084033613445378,1531,0.002661249479370228
26,71,X,1.0,0.23076923076923078,0.8004201680672269,1602,0.0015114329169745374
27,54,O,-1.0,0.18518518518518517,0.792436974789916,1656,0.003880902595550719
