episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy,reference_kl
1,1,8,O,-1.0,-1.0,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
2,1,13,X,1.0,0.0,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
3,1,11,X,1.0,0.3333333333333333,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
4,1,13,X,1.0,0.5,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
5,1,10,O,-1.0,0.2,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
6,1,12,O,-1.0,0.0,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
7,1,56,O,-1.0,-0.14285714285714285,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
8,1,7,X,1.0,0.0,0.6585682208339373,-0.17217661874989668,1.675321848442157,0.7501145799954733,0.005850461369846016
9,2,11,X,1.0,0.1111111111111111,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
10,2,11,X,1.0,0.2,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
11,2,24,O,-1.0,0.09090909090909091,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
12,2,10,O,-1.0,0.0,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
13,2,19,X,1.0,0.07692307692307693,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
14,2,26,O,-1.0,0.0,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
15,2,60,O,-1.0,-0.06666666666666667,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
16,2,37,X,1.0,0.0,2.79990391433239,0.02300023240968585,5.569810003042221,1.0925438478589058,0.029241395415738225
17,3,18,O,-1.0,-0.058823529411764705,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
18,3,30,O,-1.0,-0.1111111111111111,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
19,3,36,O,-1.0,-0.15789473684210525,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
20,3,12,O,-1.0,-0.2,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
21,3,31,X,1.0,-0.14285714285714285,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
22,3,45,X,1.0,-0.09090909090909091,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
23,3,25,X,1.0,-0.043478260869565216,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
24,3,17,X,1.0,0.0,1.6260960102081299,0.001971440389752388,3.2633226811885834,1.2934331744909286,0.0539756310172379
25,4,11,X,1.0,0.04,0.7837100376685461,-0.02897706503669421,1.6320944825808208,1.341031054655711,0.10050190488497417
26,4,31,X,1.0,0.07692307692307693,0.7837100376685461,-0.02897706503669421,1.6320944825808208,1.341031054655711,0.10050190488497417
27,4,24,O,-1.0,0.037037037037037035,0.7837100376685461,-0.02897706503669421,1.6320944825808208,1.341031054655711,0.10050190488497417
28,4,14,O,-1.0,0.0,0.7837100376685461,-0.02897706503669421,1.6320944825808208,1.341031054655711,0.10050190488497417
