episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy,reference_kl
1,1,37,X,1.0,1.0,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
2,1,39,X,1.0,1.0,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
3,1,31,X,1.0,1.0,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
4,1,10,O,-1.0,0.5,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
5,1,8,O,-1.0,0.2,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
6,1,29,X,1.0,0.3333333333333333,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
7,1,7,X,1.0,0.42857142857142855,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
8,1,7,X,1.0,0.5,0.8626487155755361,-0.027403089528282482,1.7993881503740947,1.0400958061218262,0.00758689964034905
9,2,10,O,-1.0,0.3333333333333333,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
10,2,11,X,1.0,0.4,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
11,2,23,X,1.0,0.45454545454545453,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
12,2,9,X,1.0,0.5,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
13,2,19,X,1.0,0.5384615384615384,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
14,2,16,O,-1.0,0.42857142857142855,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
15,2,9,X,1.0,0.4666666666666667,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
16,2,11,X,1.0,0.5,1.2246570587158203,-0.013370014727115631,2.496346265077591,1.1949565410614014,0.018034981796517968
17,3,12,O,-1.0,0.4117647058823529,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
18,3,14,O,-1.0,0.3333333333333333,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
19,3,9,X,1.0,0.3684210526315789,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
20,3,32,O,-1.0,0.3,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
21,3,12,O,-1.0,0.23809523809523808,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
22,3,26,O,-1.0,0.18181818181818182,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
23,3,7,X,1.0,0.21739130434782608,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
24,3,13,X,1.0,0.25,0.9012453109025955,-0.01471000351011753,1.849162518978119,1.1639778017997742,0.030138243921101093
25,4,10,O,-1.0,0.2,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
26,4,26,O,-1.0,0.15384615384615385,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
27,4,7,X,1.0,0.18518518518518517,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
28,4,35,X,1.0,0.21428571428571427,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
29,4,39,X,1.0,0.2413793103448276,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
30,4,16,O,-1.0,0.2,1.1815767486890156,-0.010921389485398928,2.4007099668184915,1.3043840924898784,0.05186999713381132
