experiment,agent_a,agent_b,seed,games,stochastic,agent_a_win_rate,agent_b_win_rate,draw_rate,agent_a_reward,avg_turns,avg_forfeits,avg_redirects,elapsed_seconds
random_vs_random,A:random,B:random,1,10,True,0.3,0.7,0.0,-0.39999999999999997,62.6,13.7,16.9,0.03268058400135487
random_vs_random,A:random,B:random,2,10,True,0.5,0.5,0.0,0.0,64.8,14.8,16.5,0.032920458004809916
random_vs_random,A:random,B:random,3,10,True,0.5,0.5,0.0,0.0,59.2,12.7,15.4,0.031678833009209484
qtable_vs_random,qtable:results/checkpoints/q_table.json,random,1,10,True,0.3,0.7,0.0,-0.39999999999999997,62.6,13.7,16.9,0.040763334021903574
qtable_vs_random,qtable:results/checkpoints/q_table.json,random,2,10,True,0.5,0.5,0.0,0.0,64.8,14.8,16.5,0.041338207956869155
qtable_vs_random,qtable:results/checkpoints/q_table.json,random,3,10,True,0.5,0.5,0.0,0.0,59.2,12.7,15.4,0.038724167039617896
heuristic_vs_random,heuristic,random,1,10,True,1.0,0.0,0.0,1.0,10.5,1.1,3.5,5.380374041036703
heuristic_vs_random,heuristic,random,2,10,True,1.0,0.0,0.0,1.0,11.3,0.8,4.2,6.037519500008784
heuristic_vs_random,heuristic,random,3,10,True,1.0,0.0,0.0,1.0,10.3,0.9,4,5.5641752920346335
mcts20c6_vs_random,mcts:20,random,1,5,True,1.0,0.0,0.0,1.0,13.4,2,4.4,36.407865041983314
mcts20c6_vs_random,mcts:20,random,2,5,True,1.0,0.0,0.0,1.0,13.4,1.4,4.6,36.96445054101059
mcts20c6_vs_random,mcts:20,random,3,5,True,1.0,0.0,0.0,1.0,12.6,1.8,3.8,34.409134749963414
mcts50c6_vs_heuristic,mcts:50,heuristic,1,5,True,0.4,0.6,0.0,-0.19999999999999996,13.2,0.8,4.6,82.0092241250095
mcts50c6_vs_heuristic,mcts:50,heuristic,2,5,True,0.4,0.6,0.0,-0.19999999999999996,12.4,1.4,4,79.34404916700441
mcts50c6_vs_heuristic,mcts:50,heuristic,3,5,True,0.6,0.4,0.0,0.19999999999999996,10.2,0,4.2,68.19416837499011
dqn_stochastic_vs_random,dqn:results/checkpoints/dqn_stochastic_smoke.pt,random,1,10,True,1.0,0.0,0.0,1.0,37.1,5.6,13.1,0.19198354199761525
dqn_stochastic_vs_random,dqn:results/checkpoints/dqn_stochastic_smoke.pt,random,2,10,True,0.8,0.2,0.0,0.6000000000000001,42.9,8.1,13.6,0.23161600000457838
dqn_stochastic_vs_random,dqn:results/checkpoints/dqn_stochastic_smoke.pt,random,3,10,True,0.6,0.4,0.0,0.19999999999999996,59.9,12,16.5,0.275877624982968
dqn_stochastic_vs_heuristic,dqn:results/checkpoints/dqn_stochastic_smoke.pt,heuristic,1,10,True,0.0,1.0,0.0,-1.0,12.1,1.1,4.5,6.601707166992128
dqn_stochastic_vs_heuristic,dqn:results/checkpoints/dqn_stochastic_smoke.pt,heuristic,2,10,True,0.0,1.0,0.0,-1.0,11.1,1.2,3.6,5.859905208984856
dqn_stochastic_vs_heuristic,dqn:results/checkpoints/dqn_stochastic_smoke.pt,heuristic,3,10,True,0.0,1.0,0.0,-1.0,12.5,1.3,4.8,6.624222333019134
