opponent,seeds,games_total,mean_win_rate,std_win_rate,mean_reward,std_reward,mean_turns,agent_a,agent_b
random,3,30,0.9333333333333333,0.05773502691896256,0.8666666666666667,0.11547005383792512,37.7,ppo:results/checkpoints/ppo_long_seed501.pt,random
heuristic,3,30,0.03333333333333333,0.05773502691896258,-0.9333333333333333,0.11547005383792512,11.6,ppo:results/checkpoints/ppo_long_seed501.pt,heuristic
mcts20c6,3,12,0.0,0.0,-1.0,0.0,14.166666666666666,ppo:results/checkpoints/ppo_long_seed501.pt,mcts:20
