experiment,agent_a,agent_b,seed,games,stochastic,agent_a_win_rate,agent_b_win_rate,draw_rate,agent_a_reward,avg_turns,avg_forfeits,avg_redirects,elapsed_seconds
random_vs_random,A:random,B:random,1,4,True,0.5,0.5,0.0,0.0,61,15,18,0.013398957962635905
random_vs_random,A:random,B:random,2,4,True,0.75,0.25,0.0,0.5,62.75,15,17.5,0.012550207960885018
heuristic_vs_random,heuristic,random,1,4,True,1.0,0.0,0.0,1.0,12,1.75,3.5,2.873908791982103
heuristic_vs_random,heuristic,random,2,4,True,1.0,0.0,0.0,1.0,10.5,0.25,3.75,2.1715412500198
mcts20c6_vs_random,mcts:20,random,1,2,True,1.0,0.0,0.0,1.0,15.5,3.5,4.5,15.292351834010333
mcts20c6_vs_random,mcts:20,random,2,2,True,1.0,0.0,0.0,1.0,11.5,0.5,4.5,11.516459750011563
dqn_stochastic_vs_random,dqn:results/checkpoints/dqn_stochastic_smoke.pt,random,1,4,True,1.0,0.0,0.0,1.0,49.5,11,15.5,0.09356795798521489
dqn_stochastic_vs_random,dqn:results/checkpoints/dqn_stochastic_smoke.pt,random,2,4,True,1.0,0.0,0.0,1.0,59,13.75,16.5,0.10447104199556634
