seed,episodes,checkpoint,history_csv,history_html,train_x_win_rate,train_o_win_rate,train_draw_rate,train_avg_turns,train_avg_loss,final_rolling_x_reward_50,elapsed_seconds
201,120,results/checkpoints/dqn_long_seed201.pt,results/history/dqn_long_seed201_history.csv,results/history/dqn_long_seed201_history.html,0.575,0.425,0.0,56.00833333333333,0.0036749690643812266,0.2,235.99135974998353
202,120,results/checkpoints/dqn_long_seed202.pt,results/history/dqn_long_seed202_history.csv,results/history/dqn_long_seed202_history.html,0.475,0.525,0.0,50.44166666666667,0.003987787672151596,0.08,191.89331249997485
203,120,results/checkpoints/dqn_long_seed203.pt,results/history/dqn_long_seed203_history.csv,results/history/dqn_long_seed203_history.html,0.4666666666666667,0.5333333333333333,0.0,56.88333333333333,0.0036210385032776275,-0.24,150.58589658298297
