source,x_spec,o_spec,games,samples,x_win_rate,o_win_rate,draw_rate,avg_turns
heuristic_self,heuristic,heuristic,2,21,0.5,0.5,0.0,10.5
mcts_vs_heuristic,mcts:20:6,heuristic,1,7,1.0,0.0,0.0,7
