source,x_spec,o_spec,games,samples,x_win_rate,o_win_rate,draw_rate,avg_turns
heuristic_self,heuristic,heuristic,400,4664,0.575,0.425,0.0,11.66
mcts_vs_heuristic,mcts:20:6,heuristic,80,1021,0.4125,0.5875,0.0,12.7625
