source,x_spec,o_spec,games,samples,x_win_rate,o_win_rate,draw_rate,avg_turns
heuristic_self,heuristic,heuristic,200,2288,0.61,0.39,0.0,11.44
mcts_vs_heuristic,mcts:20:6,heuristic,30,369,0.3,0.7,0.0,12.3
